Date,open,high,low,close,Volume,Volume MA,Volume,Volume MA
1696921200,1.05615,1.05726,1.05544,1.05719,7285,3703.7,7285,3703.7
1696924800,1.05719,1.06096,1.05698,1.06044,7654,3819.95,7654,3819.95
1696928400,1.06044,1.06113,1.05973,1.0602,5511,3704.15,5511,3704.15
1696932000,1.0602,1.06048,1.05909,1.05922,4293,3577.65,4293,3577.65
1696935600,1.05922,1.05922,1.0572,1.05759,5000,3618.5,5000,3618.5
1696939200,1.05759,1.05954,1.05743,1.05934,7483,3828.95,7483,3828.95
1696942800,1.05934,1.0597,1.05848,1.05942,7926,4038.35,7926,4038.35
1696946400,1.05942,1.06068,1.05892,1.05973,7461,4237.25,7461,4237.25
1696950000,1.05973,1.06198,1.0596,1.06172,5365,4327.25,5365,4327.25
1696953600,1.06172,1.06199,1.06095,1.06173,4116,4447.7,4116,4447.7
1696957200,1.06173,1.06185,1.05934,1.05949,4949,4659.35,4949,4659.35
1696960800,1.05949,1.06014,1.05925,1.05988,4282,4838.25,4282,4838.25
1696964400,1.05988,1.06066,1.05939,1.06047,3281,4943.9,3281,4943.9
1696968000,1.06047,1.06066,1.06024,1.06047,1836,4801.05,1836,4801.05
1696971600,1.06047,1.06072,1.06039,1.06054,178,4584.05,178,4584.05
1696975200,1.06054,1.06068,1.0603,1.06054,432,4472.5,432,4472.5
1696978800,1.06054,1.06098,1.06036,1.06044,1050,4416.3,1050,4416.3
1696982400,1.06044,1.06144,1.06044,1.06108,2652,4444.4,2652,4444.4
1696986000,1.06108,1.06124,1.06014,1.06082,2950,4468.75,2950,4468.75
1696989600,1.06082,1.06099,1.06021,1.06078,2958,4333.1,2958,4333.1
1696993200,1.06078,1.06084,1.06038,1.0605,2002,4068.95,2002,4068.95
1696996800,1.0605,1.06078,1.06027,1.06028,1637,3768.1,1637,3768.1
1697000400,1.06028,1.06105,1.06006,1.06016,2017,3593.4,2017,3593.4
1697004000,1.06016,1.06148,1.05992,1.06106,4077,3582.6,4077,3582.6
